Position, Name, Team, Game, Avg FPPG, Salary
"TE","Adam Shaheen","Bears","NE @ CHI","0.0","$5,000.00"
"TE","Dion Sims","Bears","NE @ CHI","0.58","$5,000.00"
"WR","Josh Bellamy","Bears","NE @ CHI","2.36","$6,000.00"
"WR","Anthony Miller","Bears","NE @ CHI","7.47","$6,600.00"
"RB","Tarik Cohen","Bears","NE @ CHI","15.58","$10,500.00"
"WR","Allen Robinson II","Bears","NE @ CHI","12.82","$11,400.00"
"TE","Ben Braunecker","Bears","NE @ CHI","0.0","$5,000.00"
"TE","Daniel Brown","Bears","NE @ CHI","0.0","$5,000.00"
"TE","Trey Burton","Bears","NE @ CHI","10.62","$8,000.00"
"TE","Patrick Scales","Bears","NE @ CHI","0.0","$5,000.00"
"RB","Michael Burton","Bears","NE @ CHI","0.53","$6,000.00"
"RB","Benny Cunningham","Bears","NE @ CHI","0.54","$6,300.00"
"WR","Javon Wims","Bears","NE @ CHI","0.0","$6,000.00"
"QB","Mitchell Trubisky","Bears","NE @ CHI","23.36","$11,200.00"
"DST","Chicago Bears","Bears","NE @ CHI","12.6","$4,900.00"
"WR","Taylor Gabriel","Bears","NE @ CHI","15.78","$9,200.00"
"RB","Jordan Howard","Bears","NE @ CHI","10.0","$10,300.00"
"WR","Kevin White","Bears","NE @ CHI","0.0","$6,000.00"
"QB","Chase Daniel","Bears","NE @ CHI","-0.2","$10,000.00"
"RB","Rex Burkhead","Patriots","NE @ CHI","4.9","$7,000.00"
"WR","Josh Gordon","Patriots","NE @ CHI","9.02","$10,100.00"
"WR","Phillip Dorsett","Patriots","NE @ CHI","8.33","$6,200.00"
"WR","Braxton Berrios","Patriots","NE @ CHI","0.0","$6,000.00"
"WR","Matthew Slater","Patriots","NE @ CHI","0.0","$6,000.00"
"RB","Sony Michel","Patriots","NE @ CHI","14.96","$12,300.00"
"RB","James Develin","Patriots","NE @ CHI","1.41","$6,000.00"
"WR","Chris Hogan","Patriots","NE @ CHI","8.18","$7,400.00"
"RB","James White","Patriots","NE @ CHI","19.03","$12,200.00"
"TE","Rob Gronkowski","Patriots","NE @ CHI","12.41","$11,300.00"
"TE","Jacob Hollister","Patriots","NE @ CHI","2.16","$5,000.00"
"QB","Tom Brady","Patriots","NE @ CHI","21.24","$12,400.00"
"WR","Cody Hollister","Patriots","NE @ CHI","0.0","$6,000.00"
"RB","Kenjon Barner","Patriots","NE @ CHI","1.35","$6,000.00"
"WR","Cordarrelle Patterson","Patriots","NE @ CHI","6.26","$6,400.00"
"TE","Dwayne Allen","Patriots","NE @ CHI","0.1","$5,000.00"
"QB","Brian Hoyer","Patriots","NE @ CHI","-0.3","$10,000.00"
"DST","New England Patriots","Patriots","NE @ CHI","6.2","$4,600.00"
"WR","Julian Edelman","Patriots","NE @ CHI","14.4","$11,600.00"
"WR","Quincy Enunwa","Jets","MIN @ NYJ","9.28","$8,400.00"
"WR","Robby Anderson","Jets","MIN @ NYJ","9.85","$8,800.00"
"WR","Charone Peake","Jets","MIN @ NYJ","0.0","$6,000.00"
"WR","Terrelle Pryor","Jets","MIN @ NYJ","8.25","$7,400.00"
"RB","Bilal Powell","Jets","MIN @ NYJ","9.63","$8,400.00"
"TE","Chris Herndon","Jets","MIN @ NYJ","3.88","$5,000.00"
"RB","Isaiah Crowell","Jets","MIN @ NYJ","15.3","$8,800.00"
"QB","Josh McCown","Jets","MIN @ NYJ","0.0","$10,000.00"
